Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2013 ;342500;CÓRDOBA;C;QUÍMICA ;FACULTAD DE CIENCIAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;308004;CÓRDOBA;SYJ;RELACIONES LABORALES Y RECURSOS HUMANOS ASESORÍA JURÍDICO-LABORALMERCADO DE TRABAJO Y EMPLEORECURSOS HUMANOSSALUD LABORAL;FACULTAD DE CIENCIAS DEL TRABAJO;5,000;5,000;7,470 -ONP AN;5,000;5,000
2013 ;343202;CÓRDOBA;AYH;TRADUCCIÓN E INTERPRETACIÓN FRANCÉS ;FACULTAD DE FILOSOFÍA Y LETRAS;5,751;8,300;5,000 -ONP NA;5,000;5,900
2013 ;343301;CÓRDOBA;AYH;TRADUCCIÓN E INTERPRETACIÓN INGLÉS ;FACULTAD DE FILOSOFÍA Y LETRAS;9,825;7,800;6,835 -OPR AN;5,000;5,000
2013 ;308705;CÓRDOBA;SYJ;TURISMO ;FACULTAD DE CIENCIAS DEL TRABAJO;5,000;5,000;6,015 -ONP AN;5,000;5,000
2013 ;343504;CÓRDOBA;SD;VETERINARIA ;FACULTAD DE VETERINARIA;10,492;7,600;7,450 -OPR AN;5,000;5,000
2013 ;425509;GRANADA;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;F. CIENCIAS ECONÓMICAS Y EMPRESARIALES;8,480;7,620;5,384 -OPR NA;5,000;5,000
2013 ;425513;GRANADA;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FACULTAD DE CIENCIAS SOCIALES Y JURÍDICAS (MELILLA);5,000;6,129;5,000 -ONP NA;5,000;5,000
2013 ;425528;GRANADA;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FACULTAD DE EDUCACIÓN Y HUMANIDADES (CEUTA);5,000;5,000;5,310 -OPR NA;5,000;5,000
2013 ;425606;GRANADA;SYJ;ADMON. Y DIREC. DE EMPRESA + DERECHO ;F. CIENCIAS ECONÓMICAS Y EMPRESARIALES-F. DERECHO;10,058;6,772;5,000 -ONP NA;5,000;5,000
2013 ;491502;GRANADA;SYJ;ANTROPOLOGIA SOCIAL Y CULTURAL ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;7,470;5,430 -OPR NA;5,000;5,000
2013 ;453001;GRANADA;AYH;ARQUEOLOGÍA ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;5,659 -OPR AN;5,000;5,000
2013 ;400501;GRANADA;IYA;ARQUITECTURA ;E.T.S. DE ARQUITECTURA;7,230;6,680;5,459 -ONP AN;5,000;5,000
2013 ;426006;GRANADA;AYH;BELLAS ARTES ;FACULTAD DE BELLAS ARTES;5,525;7,470;6,667 -OPR AN;12,500;6,500
